着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重(増減),is_top3,距離,種類,天候,馬場
1.0,5,5,シーグルロス,牝2,51.0,★小林美,1:09.9,,9,50.3,35.2,2-2,美浦尾形,446(-10),1,1200,芝,曇,良
2.0,4,4,アニマレイ,牡2,55.0,佐々木,1:10.0,1/2,1,1.4,35.1,6-5,栗東須貝,468(0),1,1200,芝,曇,良
3.0,1,1,ヘクセンハウス,牝2,55.0,丹内,1:10.1,クビ,4,24.8,35.3,4-2,栗東吉田,408(+6),1,1200,芝,曇,良
4.0,2,2,ダイヤテソーロ,牝2,55.0,木幡巧,1:10.1,ハナ,6,32.4,35.6,1-1,美浦牧,430(0),0,1200,芝,曇,良
5.0,6,7,ジャストビート,牝2,55.0,岩田康,1:10.3,1.1/4,5,29.6,34.8,10-9,栗東安達,420(0),0,1200,芝,曇,良
6.0,5,6,マルモリラピダス,牡2,55.0,鮫島駿,1:10.3,クビ,3,5.8,35.3,6-5,栗東緒方,420(-2),0,1200,芝,曇,良
7.0,7,9,ルーセントムーン,牡2,55.0,斎藤,1:10.6,2,11,177.4,35.2,9-9,栗東高橋一,464(+4),0,1200,芝,曇,良
8.0,6,8,ステイフリー,牝2,52.0,▲古川奈,1:10.7,クビ,7,47.1,35.5,8-8,栗東高橋忠,444(0),0,1200,芝,曇,良
9.0,8,11,カレンショー,牡2,55.0,北村友,1:10.8,3/4,8,50.3,34.9,12-12,栗東安田,426(0),0,1200,芝,曇,良
10.0,7,10,ラインカシウス,牝2,55.0,古川吉,1:10.8,ハナ,12,198.8,35.1,11-11,美浦水野,390(+2),0,1200,芝,曇,良
11.0,3,3,ムーンリットアイル,牝2,55.0,藤岡佑,1:11.2,2,2,4.5,36.5,2-2,栗東武英,442(-8),0,1200,芝,曇,良
12.0,8,12,プレザントトーン,牝2,55.0,浜中,1:12.3,7,10,111.4,37.5,4-5,栗東武幸,444(-2),0,1200,芝,曇,良
1.0,5,6,ストラテージュ,牡3,54.0,▲古川奈,0:59.1,,5,11.6,35.4,3-2,栗東矢作,460(-6),1,1000,ダート,曇,良
