着順,枠番,馬番,馬名,年齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）,is_top3,距離,種類,天候,馬場
1.0,5,10,メリーサウンド,牝3,55.0,小沢,1:37.8,,9,41.1,38.4,1-1,美浦小笠,448(-4),1,1600,ダート,晴,良
2.0,8,16,センジュコスモス,牝3,55.0,内田博,1:38.2,2,6,9.2,38.6,2-2,美浦南田,460(-2),1,1600,ダート,晴,良
3.0,1,2,アイスリーディング,牝3,55.0,田辺,1:38.3,1,7,14.6,37.7,9-9,美浦小笠,434(-6),1,1600,ダート,晴,良
4.0,4,8,スカイリスト,牝3,55.0,吉田豊,1:38.4,クビ,12,171.7,37.4,12-12,美浦小野,464(+6),0,1600,ダート,晴,良
5.0,7,13,ミヤグリフォン,牝3,55.0,菊沢,1:38.4,クビ,2,4.1,38.8,2-2,美浦千葉,466(-2),0,1600,ダート,晴,良
6.0,8,15,モリノアミーゴ,牝3,55.0,津村,1:38.6,1,3,6.2,38.5,6-6,美浦鈴木伸,466(0),0,1600,ダート,晴,良
7.0,3,5,アルマヴィーナス,牝3,54.0,☆横山琉,1:38.6,ハナ,10,114.2,37.8,11-10,美浦中舘,460(+4),0,1600,ダート,晴,良
8.0,7,14,イルジーリオ,牝3,52.0,▲石神道,1:38.6,クビ,8,19.8,38.1,8-7,美浦林,438(+8),0,1600,ダート,晴,良
9.0,2,3,チハヤフル,牝3,55.0,大野,1:38.7,3/4,5,8.7,37.6,13-12,美浦高柳瑞,474(+4),0,1600,ダート,晴,良
10.0,4,7,デルマエアロール,牝3,55.0,石橋脩,1:38.8,1/2,4,7.5,38.9,4-4,美浦大和田,458(-4),0,1600,ダート,晴,良
11.0,6,12,サクラカゼ,牝3,52.0,▲佐藤,1:39.0,3/4,13,197.1,37.8,16-14,美浦堀内,452(-8),0,1600,ダート,晴,良
12.0,1,1,ミズイロ,牝3,55.0,丸田,1:39.3,2,15,233.7,38.9,7-7,美浦高橋文,434(0),0,1600,ダート,晴,良
13.0,2,4,ハコダテサンバ,牝3,55.0,石川,1:39.3,アタマ,11,154.3,38.1,13-14,美浦相沢,462(-2),0,1600,ダート,晴,良
14.0,5,9,キタノルシール,牝3,52.0,▲石田,1:39.8,2.1/2,16,265.7,38.6,15-14,美浦小西,454(+6),0,1600,ダート,晴,良
15.0,6,11,アビッサルスター,牝3,55.0,レーン,1:40.1,1.3/4,1,3.2,40.3,4-4,美浦堀,430(-2),0,1600,ダート,晴,良
16.0,3,6,ニシノクレシダ,牝3,55.0,江田照,1:40.4,2,14,223.1,39.6,9-10,美浦栗田,448(-4),0,1600,ダート,晴,良
1.0,8,16,サクラパステル,牝3,55.0,丸山,1:25.6,,4,8.0,36.0,1-1,美浦田島,470(-6),1,1400,ダート,晴,良
2.0,1,2,ガンバレベアー,牝3,55.0,内田博,1:26.1,3,1,3.5,35.5,12-11,美浦千葉,474(-4),1,1400,ダート,晴,良
3.0,1,1,ウインレアリゼ,牝3,52.0,▲石神道,1:26.2,1,8,14.2,35.9,10-7,美浦小手川,472(+8),1,1400,ダート,晴,良
4.0,7,14,キタノショウリュウ,牡3,57.0,野中,1:26.3,クビ,10,69.2,36.5,2-2,美浦伊藤伸,482(-8),0,1400,ダート,晴,良
5.0,8,15,プロピエダッド,牝3,55.0,丸田,1:26.3,クビ,11,91.6,36.4,5-5,美浦武藤,474(0),0,1400,ダート,晴,良
6.0,7,13,ペイシャブギー,牝3,55.0,菊沢,1:26.3,クビ,9,25.1,36.5,2-2,美浦本間,424(-4),0,1400,ダート,晴,良
7.0,5,9,アシャカルーク,牡3,57.0,横山典,1:26.5,1,5,8.5,36.4,5-6,美浦鈴木伸,442(-4),0,1400,ダート,晴,良
8.0,2,3,アンエクスプロード,牡3,57.0,三浦,1:26.5,クビ,7,9.4,35.6,14-14,美浦池上,506(+4),0,1400,ダート,晴,良
9.0,4,7,ルージュアマリア,牝3,55.0,菅原明,1:26.7,1,6,9.3,36.4,8-7,美浦黒岩,396(-4),0,1400,ダート,晴,良
10.0,3,5,メイユウ,牡3,57.0,石川,1:26.7,クビ,2,4.9,36.9,2-2,美浦蛯名正,468(0),0,1400,ダート,晴,良
11.0,5,10,シャインシュシュ,牝3,55.0,石橋脩,1:26.9,1,13,104.0,36.2,12-13,美浦小野,476(-2),0,1400,ダート,晴,良
12.0,6,12,クリプトス,牡3,57.0,戸崎圭,1:27.0,1/2,3,6.7,36.7,8-7,美浦和田勇,482(-2),0,1400,ダート,晴,良
