年度,順位,１着,２着,３着,４着～,騎乗回数,重賞出走,重賞勝利,勝率,連対率,複勝率,代表馬,騎手名
累計,,205,178,197,"1,758","2,338",52,4,8.8％,16.4％,24.8％,,佐々木大輔
2025,9,51,47,35,374,507,20,1,10.1％,19.3％,26.2％,ヴェローチェエラ,佐々木大輔
累計,,"1,642","1,372","1,155","7,021","11,190",772,82,14.7％,26.9％,37.3％,,戸崎圭太
2025,1,72,61,47,261,441,38,5,16.3％,30.2％,40.8％,ダノンデサイル,戸崎圭太
累計,,"1,741","1,920","2,053","19,164","24,878","1,187",49,7.0％,14.7％,23.0％,,幸英明
2025,13,39,32,29,418,518,26,2,7.5％,13.7％,19.3％,サンライズジパング,幸英明
累計,,601,812,871,"9,880","12,164",247,9,4.9％,11.6％,18.8％,,丹内祐次
2025,7,58,54,64,378,554,24,3,10.5％,20.2％,31.8％,マイネルエンペラー,丹内祐次
累計,,742,869,999,"10,938","13,548",481,12,5.5％,11.9％,19.3％,,大野拓弥
2025,25,25,21,32,284,362,15,0,6.9％,12.7％,21.5％,シルトホルン,大野拓弥
累計,,568,628,622,"5,598","7,416",259,12,7.7％,16.1％,24.5％,,鮫島克駿
2025,15,38,46,47,339,470,21,1,8.1％,17.9％,27.9％,サンデーファンデー,鮫島克駿
累計,,168,191,282,"4,017","4,658",39,1,3.6％,7.7％,13.8％,,菊沢一樹
2025,39,17,14,32,327,390,5,0,4.4％,7.9％,16.2％,カリボール,菊沢一樹
累計,,228,239,236,"3,054","3,757",95,6,6.1％,12.4％,18.7％,,斎藤新
2025,31,22,23,18,287,350,11,0,6.3％,12.9％,18.0％,テイエムスパーダ,斎藤新
累計,,587,702,718,"9,470","11,477",294,12,5.1％,11.2％,17.5％,,古川吉洋
2025,39,17,19,16,226,278,11,1,6.1％,12.9％,18.7％,シリウスコルト,古川吉洋
累計,,"1,108","1,230","1,091","8,977","12,406",721,22,8.9％,18.8％,27.6％,,三浦皇成
2025,19,29,44,27,231,331,17,0,8.8％,22.1％,30.2％,ウェットシーズン,三浦皇成
累計,,321,383,352,"3,320","4,376",185,11,7.3％,16.1％,24.1％,,団野大成
2025,16,37,41,35,283,396,20,1,9.3％,19.7％,28.5％,ヤマニンアルリフラ,団野大成
累計,,64,68,73,825,"1,030",15,2,6.2％,12.8％,19.9％,,吉村誠之助
2025,18,31,35,33,363,462,11,2,6.7％,14.3％,21.4％,ガイアフォース,吉村誠之助
累計,,33,28,26,193,280,21,5,11.8％,21.8％,31.1％,,Ｒ．キング
2025,41,16,15,9,95,135,10,3,11.9％,23.0％,29.6％,コスタノヴァ,Ｒ．キング
累計,,958,937,937,"8,212","11,044",551,36,8.7％,17.2％,25.6％,,北村友一
2025,13,39,42,30,248,359,35,2,10.9％,22.6％,30.9％,クロワデュノール,北村友一
累計,,205,282,303,"5,781","6,571",51,2,3.1％,7.4％,12.0％,,黛弘人
2025,90,4,10,11,169,194,1,0,2.1％,7.2％,12.9％,マイファミリー,黛弘人
累計,,254,303,342,"4,908","5,807",91,2,4.4％,9.6％,15.5％,,木幡巧也
2025,41,16,13,27,332,388,10,0,4.1％,7.5％,14.4％,ティラトーレ,木幡巧也
累計,,718,595,577,"4,134","6,024",301,25,11.9％,21.8％,31.4％,,横山武史
2025,4,63,47,43,270,423,30,2,14.9％,26.0％,36.2％,ナチュラルライズ,横山武史
累計,,364,394,404,"3,625","4,787",180,12,7.6％,15.8％,24.3％,,菅原明良
2025,23,26,29,38,313,406,26,1,6.4％,13.5％,22.9％,ウォーターリヒト,菅原明良
累計,,50,45,56,676,827,1,0,6.0％,11.5％,18.3％,,小林美駒
2025,33,21,16,22,209,268,0,0,7.8％,13.8％,22.0％,テイエムタリスマ,小林美駒
累計,,94,122,118,"1,490","1,824",42,0,5.2％,11.8％,18.3％,,田口貫太
2025,36,19,33,31,357,440,15,0,4.3％,11.8％,18.9％,レイナデアルシーラ,田口貫太
累計,,84,68,60,695,907,14,0,9.3％,16.8％,23.4％,,高杉吏麒
2025,17,36,44,38,333,451,9,0,8.0％,17.7％,26.2％,エイムインライフ,高杉吏麒
累計,,4,3,11,126,144,0,0,2.8％,4.9％,12.5％,,和田陽希
2025,90,4,3,11,126,144,0,0,2.8％,4.9％,12.5％,サドル,和田陽希
累計,,"1,371","1,235","1,230","10,421","14,257",809,55,9.6％,18.3％,26.9％,,内田博幸
